       (NOTAS)  Per�odo: 01/01/2026 at� 16/03/2026   Gera��o: 16/03/2026 10:56:26
 
Cli_For;Canc;Filial;Comp;Numero;Inclusao;Emissao;Ent/Saida;OP Fiscal;C�digo;Cliente/Fornecedor;CNPJ;CPF;UF;Total Bruto;Total Desconto;Frete;Total Despesa;Total Nota;BC Icms;Valor Icms;BC ST;Valor ST;BC Ipi;Valor Ipi;Valor IPI Devolvido;BC Pis/Cofins;Valor Pis;Valor Cofins;Valor FCP;BC FCP;Valor FCP ST;BC FCP ST;BC FCP ST Retido;Valor ST Retido;BC ST Retido;Valor FCP ST Retido;BC ICMS Efetivo;Valor ICMS Efetivo;Valor ICMS Substituto;Chave NF-e;Chave CTE;Num Documento
F;N;00;010;279029;08/01/2026;07/01/2026;08/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;61.731,18000;4.321,18000;,00000;,00000;57.410,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2790298
C;N;00;001;000975;08/01/2026;08/01/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;47.659,59000;,00000;,00000;,00000;47.659,59000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009751367284204;;
C;N;00;001;000976;08/01/2026;08/01/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;51.000,00000;,00000;,00000;,00000;51.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009761071668293;;
C;N;00;001;000977;08/01/2026;08/01/2026;30/12/1899;S;000674;ONCOAGRESTE CLINICA LTDA;10925123/0001-97;00000000000;PE;4.403,40000;,00000;,00000;,00000;4.403,40000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009771385856219;;
C;N;00;001;000978;08/01/2026;08/01/2026;30/12/1899;S;000229;IMIP;10988301/0001-29;00000000000;PE;1.792,00000;,00000;,00000;,00000;1.792,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009781665137015;;
C;N;00;001;000979;08/01/2026;08/01/2026;30/12/1899;S;000183;UNIONCO;41090440/0001-64;00000000000;PE;137,60000;,00000;,00000;,00000;137,60000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009791311090748;;
C;N;00;001;000980;08/01/2026;08/01/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;129.316,00000;,00000;,00000;,00000;129.316,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009801212748029;;
F;N;00;010;027902;09/01/2026;07/01/2026;09/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;30.300,00000;140,00000;,00000;,00000;30.160,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2790276
F;N;00;010;279027;09/01/2026;07/01/2026;09/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;30.510,75000;350,75000;,00000;,00000;30.160,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2790275
C;N;00;001;000981;09/01/2026;09/01/2026;30/12/1899;S;000090;ONCOCENTER;10254912/0001-43;00000000000;PI;4.720,00000;,00000;,00000;,00000;4.720,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009811066199493;;
C;N;00;001;000982;12/01/2026;12/01/2026;30/12/1899;S;000674;ONCOAGRESTE CLINICA LTDA;10925123/0001-97;00000000000;PE;1.800,00000;,00000;,00000;,00000;1.800,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009821098070523;;
C;N;00;001;000983;12/01/2026;12/01/2026;30/12/1899;S;000677;HOSPITAL SANTA HELENA;33917568/0001-20;00000000000;BA;1.091,94000;,00000;120,00000;,00000;1.211,94000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009831239495646;;
C;N;00;001;000984;13/01/2026;13/01/2026;30/12/1899;S;000027;HOSPITAL WILSON ROSADO;35650324/0001-50;00000000000;RN;3.205,80000;,00000;,00000;,00000;3.205,80000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009841114963331;;
C;N;00;001;000985;13/01/2026;13/01/2026;30/12/1899;S;000651;CION CENTRO INTEGRADO DE ONCOLOGIA;04234637/0001-01;00000000000;PA;6.976,87000;,00000;,00000;,00000;6.976,87000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009851479660646;;
C;N;00;001;000986;14/01/2026;14/01/2026;30/12/1899;S;000194;INSTITUTO DE ONCOLOGIA DO NORDESTE IONE;10988301/0009-86;00000000000;PE;3.270,00000;,00000;,00000;,00000;3.270,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009861774708970;;
C;N;00;001;000987;14/01/2026;14/01/2026;30/12/1899;S;000111;ASSOCIACAO OBRAS SOCIAIS IRMA DULCE;15178551/0003-89;00000000000;BA;5.277,60000;,00000;,00000;,00000;5.277,60000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009871132925200;;
C;N;00;001;000988;14/01/2026;14/01/2026;30/12/1899;S;000111;ASSOCIACAO OBRAS SOCIAIS IRMA DULCE;15178551/0003-89;00000000000;BA;13.970,00000;,00000;,00000;,00000;13.970,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009881974433685;;
F;N;00;010;249455;15/01/2026;15/01/2026;15/01/2026;E;000045;UNI HOSPITALAR LTDA;07484373/0001-24;;PE;2.649,00000;,00000;,00000;,00000;2.649,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;000989;15/01/2026;15/01/2026;30/12/1899;S;000677;HOSPITAL SANTA HELENA;33917568/0001-20;00000000000;BA;1.109,00000;,00000;120,00000;,00000;1.229,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009891406407850;;
C;N;00;001;000990;15/01/2026;15/01/2026;30/12/1899;S;000683;INSTITUTO RIO BRANCO;28215273/0001-72;00000000000;PE;3.074,00000;,00000;,00000;,00000;3.074,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009901744984130;;
C;N;00;001;000991;15/01/2026;15/01/2026;30/12/1899;S;000174;SANTA CASA DE MISERICORDIA DE ITABUNA;14349740/0001-42;00000000000;BA;18.478,00000;,00000;,00000;,00000;18.478,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009911868937654;;
C;N;00;001;000992;15/01/2026;15/01/2026;30/12/1899;S;000027;HOSPITAL WILSON ROSADO;35650324/0001-50;00000000000;RN;3.014,40000;,00000;,00000;,00000;3.014,40000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009921728297358;;
F;N;00;010;279184;16/01/2026;14/01/2026;16/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;29.021,51000;421,51000;,00000;,00000;28.600,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2791844
C;N;00;001;000993;16/01/2026;16/01/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;31.236,00000;,00000;,00000;,00000;31.236,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009931116960355;;
C;N;00;001;000994;16/01/2026;16/01/2026;30/12/1899;S;000662;ONCOCENTER SS LTDA;02444961/0001-10;00000000000;PA;1.745,00000;,00000;,00000;,00000;1.745,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009941586292755;;
C;N;00;001;000995;19/01/2026;19/01/2026;30/12/1899;S;000660;HOSPITAL NUCLEO VIDA;30360657/0001-20;00000000000;BA;6.704,54000;804,54000;,00000;,00000;5.900,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009951953655470;;
C;N;00;027;000010;19/01/2026;19/01/2026;30/12/1899;N;010000;MEDYNOVA MEDICAMENTOS ESPECIAIS LTDA;29094796/0001-70;;PE;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;000996;20/01/2026;20/01/2026;30/12/1899;S;000170;SAMEL SERVICOS DE ASSISTENCIA MEDICO HOS;04159778/0001-07;00000000000;AM;5.200,00000;624,00000;,00000;,00000;4.576,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009961645456504;;
F;N;00;010;279273;21/01/2026;19/01/2026;21/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;12.000,00000;,00000;,00000;,00000;12.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2792730
C;N;00;001;000997;21/01/2026;21/01/2026;30/12/1899;S;000045;HOSPITAL DO TRICENTENARIO;10583920/0008-00;00000000000;PE;20.384,00000;,00000;,00000;,00000;20.384,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009971879080397;;
C;N;00;001;000998;21/01/2026;21/01/2026;30/12/1899;S;000688;INSTITUTO NACIONAL DE CUIDADOS ONCOLOGIC;08528075/0001-51;00000000000;MA;26.173,60000;,00000;,00000;,00000;26.173,60000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009981633556244;;
F;N;00;010;002790;22/01/2026;07/01/2026;22/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;24.354,84000;1.704,84000;,00000;,00000;22.650,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2790274
F;N;00;010;112790;22/01/2026;07/01/2026;22/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;26.214,38000;1.544,39000;,00000;,00000;24.670,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;002790272
F;N;00;010;127902;22/01/2026;07/01/2026;22/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;26.214,38000;1.544,39000;,00000;,00000;24.670,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2790271
F;N;00;010;127934;22/01/2026;20/01/2026;22/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;7.740,00000;,00000;,00000;,00000;7.740,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2793420
F;N;00;010;279342;22/01/2026;20/01/2026;22/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;5.000,00000;,00000;,00000;,00000;5.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2793427
F;N;00;010;279343;22/01/2026;20/01/2026;22/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;26.845,58000;375,59000;,00000;,00000;26.470,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2793437
F;N;00;010;790273;22/01/2026;07/01/2026;22/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;24.354,84000;1.704,84000;,00000;,00000;22.650,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2790273
F;N;00;010;018431;22/01/2026;16/01/2026;22/01/2026;E;000029;ACCORD FARMACEUTICA LTDA;64171697/0004-99;;SP;37.900,00000;,00000;,00000;,00000;37.900,00000;3.000,00000;540,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;000999;22/01/2026;22/01/2026;30/12/1899;S;000651;CION CENTRO INTEGRADO DE ONCOLOGIA;04234637/0001-01;00000000000;PA;7.256,00000;,00000;,00000;,00000;7.256,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000009991441604175;;
C;N;00;001;001000;22/01/2026;22/01/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;49.801,00000;,00000;,00000;,00000;49.801,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010001432759180;;
C;N;00;001;001001;22/01/2026;22/01/2026;30/12/1899;S;000688;INSTITUTO NACIONAL DE CUIDADOS ONCOLOGIC;08528075/0001-51;00000000000;MA;9.138,40000;,00000;,00000;,00000;9.138,40000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010011976859918;;
C;N;00;001;001002;22/01/2026;22/01/2026;30/12/1899;S;000084;HOSPITAL PERPETUO SOCORRO LTDA;10248599/0001-30;00000000000;PE;3.969,60000;,00000;,00000;,00000;3.969,60000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010021051961167;;
C;N;00;001;001003;22/01/2026;22/01/2026;30/12/1899;S;000688;INSTITUTO NACIONAL DE CUIDADOS ONCOLOGIC;08528075/0001-51;00000000000;MA;4.098,40000;,00000;,00000;,00000;4.098,40000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010031568105567;;
C;N;00;001;001004;22/01/2026;22/01/2026;30/12/1899;S;000033;DIAGNOSIS CENTRO DE DIAGNOSTICOS;63879381/0001-40;00000000000;PA;2.751,00000;,00000;,00000;,00000;2.751,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010041964867980;;
F;N;00;010;279381;23/01/2026;21/01/2026;23/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;14.043,01000;143,01000;,00000;,00000;13.900,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2793815
C;N;00;001;001006;23/01/2026;23/01/2026;30/12/1899;S;000045;HOSPITAL DO TRICENTENARIO;10583920/0008-00;00000000000;PE;11.466,00000;,00000;,00000;,00000;11.466,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010061890787230;;
C;N;00;001;001007;23/01/2026;23/01/2026;30/12/1899;S;000609;UNIMED JOAO PESSOA COOPERATIVA DO TRABAL;08680639/0006-81;00000000000;PB;4.960,00000;,00000;,00000;,00000;4.960,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010071922970571;;
C;N;00;060;001005;23/01/2026;23/01/2026;30/12/1899;S;000674;ONCOAGRESTE CLINICA LTDA;10925123/0001-97;00000000000;PE;605,70000;,00000;,00000;,00000;605,70000;350,00000;71,75000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010051501482266;;
C;N;00;001;001008;26/01/2026;26/01/2026;30/12/1899;S;000609;UNIMED JOAO PESSOA COOPERATIVA DO TRABAL;08680639/0006-81;00000000000;PB;10.447,07000;,00000;,00000;,00000;10.447,07000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010081678136757;;
C;N;00;001;001009;26/01/2026;26/01/2026;30/12/1899;S;000010;SEQUIPE SERVICO DE QUIMIOTERAPIA;12588547/0001-39;00000000000;PE;135,00000;,00000;,00000;,00000;135,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010091224977354;;
C;N;00;001;001010;26/01/2026;26/01/2026;30/12/1899;S;000679;LIGA MOSSOROENSE DE ESTUDOS E COMBATE;04026039/0002-10;00000000000;RN;42.865,63000;,00000;,00000;,00000;42.865,63000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010101651705325;;
C;N;00;001;001011;27/01/2026;27/01/2026;30/12/1899;S;000271;HOSPITAL SAMUR;16205262/0001-22;00000000000;BA;8.330,00000;,00000;,00000;,00000;8.330,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010111155462867;;
C;N;00;001;001012;27/01/2026;27/01/2026;30/12/1899;S;000108;CLINICA DE ONCOLOGIA E MASTOLOGIA;10730521/0001-58;00000000000;RN;3.600,00000;,00000;,00000;,00000;3.600,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010121872870196;;
F;N;00;010;279489;28/01/2026;26/01/2026;28/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;21.000,00000;,00000;,00000;,00000;21.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2794891
F;N;00;010;232361;28/01/2026;26/01/2026;28/01/2026;E;000048;AGILLE MEDICAMENTOS;11697594/0003-10;;ES;24.000,00000;,00000;,00000;,00000;24.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;001013;28/01/2026;28/01/2026;30/12/1899;S;000651;CION CENTRO INTEGRADO DE ONCOLOGIA;04234637/0001-01;00000000000;PA;10.129,80000;,00000;,00000;,00000;10.129,80000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010131064455900;;
